timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1596924000,Aug 08 2020 - 10:00pm,complete,N/A,Fortaleza,Atlético PR,Braulio da Silva Machado,1,0.00,0.00,1.58,1.11,0,2,2,2,0,2,"","22,45'3",4,4,3,1,2,0,1,3,0,2,11,13,4,6,7,7,14,8,43,57,0.00,0.00,1.26,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.55,1.38,2.20,4.10,8.00,1.95,1.80,Estádio Governador Plácido Aderaldo Castelo (Fortaleza- Ceará)
1596925800,Aug 08 2020 - 10:30pm,complete,N/A,Coritiba,Internacional,Bruno Arleu de Araujo,1,0.00,0.00,0.95,1.53,0,1,1,0,0,0,"","72",2,6,3,0,4,0,0,3,1,3,3,12,2,6,1,6,12,21,35,65,0.00,0.00,0.49,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.10,2.10,1.50,2.55,5.05,10.25,2.15,1.62,Estádio Major Antônio Couto Pereira (Curitiba- Paraná)
1596931200,Aug 09 2020 - 12:00am,complete,N/A,Sport Recife,Ceará,Edina Alves Batista,1,0.00,0.00,1.37,1.37,3,2,5,4,3,1,"20,34,42","36,57",2,4,3,0,3,0,0,3,1,2,6,8,5,7,1,1,15,18,39,61,0.00,0.00,0.75,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.00,2.60,1.56,2.75,5.60,11.50,2.25,1.61,Estádio Adelmar da Costa Carvalho (Recife- Pernambuco)
1596999600,Aug 09 2020 - 7:00pm,complete,N/A,Flamengo,Atlético Mineiro,Raphael Claus,1,0.00,0.00,1.95,1.16,0,1,1,1,0,1,"","24",9,2,3,0,2,0,0,3,1,1,17,10,3,5,14,5,12,24,62,38,0.00,0.00,1.60,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.60,6.00,1.22,1.71,2.80,5.15,1.83,1.91,Estadio Jornalista Mário Filho (Maracanã) (Rio de Janeiro- Rio de Janeiro)
1596999600,Aug 09 2020 - 7:00pm,complete,N/A,Santos,Bragantino,Ricardo Marques Ribeiro,1,0.00,0.00,1.79,0.95,1,1,2,0,0,0,"65","90'3",4,2,0,0,1,0,0,0,0,1,11,18,3,6,8,12,9,18,53,47,0.00,0.00,1.16,1.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.35,3.60,1.38,2.20,4.10,8.00,1.91,1.80,Estádio Urbano Caldeira (Santos- São Paulo)
1597010400,Aug 09 2020 - 10:00pm,complete,N/A,Grêmio,Fluminense,Wilton Pereira Sampaio,1,0.00,0.00,1.89,1.37,1,0,1,1,1,0,"45","",6,3,2,0,3,0,0,2,2,1,16,11,5,5,11,6,24,16,52,48,0.00,0.00,1.79,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.56,3.90,6.05,1.41,2.25,4.30,8.50,2.25,1.57,Arena do Grêmio (Porto Alegre- Rio Grande do Sul)
1597270500,Aug 12 2020 - 10:15pm,complete,N/A,Bragantino,Botafogo,André Luiz de Freitas Castro,2,0.00,0.00,1.84,0.68,1,1,2,1,1,0,"6","65",12,3,3,0,1,0,2,1,1,0,23,9,8,4,15,5,11,7,55,45,0.00,0.00,2.87,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.85,5.20,1.38,2.20,4.10,8.00,2.10,1.67,Estádio Nabi Abi Chedid (Bragança Paulista- São Paulo)
1597270500,Aug 12 2020 - 10:15pm,complete,N/A,Atlético Mineiro,Corinthians,Wagner do Nascimento Magalhaes,2,0.00,0.00,2.42,1.05,3,2,5,2,0,2,"52,56,61","12,30",8,4,0,0,1,0,0,0,0,1,22,7,15,5,7,2,19,12,55,45,0.00,0.00,3.10,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.25,3.95,1.41,2.25,4.30,8.50,2.00,1.74,Estádio Governador Magalhães Pinto (Belo Horizonte- Minas Gerais)
1597270500,Aug 12 2020 - 10:15pm,complete,N/A,Atlético PR,Goiás,Diego Pombo Lopez,2,0.00,0.00,1.68,0.74,2,1,3,2,1,1,"32,76","45'13",3,3,3,0,3,0,2,1,1,2,2,1,3,2,-1,-1,-1,-1,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,5.00,10.00,1.23,1.72,2.78,5.05,2.10,1.65,Arena da Baixada (Curitiba- Paraná)
1597275000,Aug 12 2020 - 11:30pm,complete,N/A,Bahia,Coritiba,Flavio Rodrigues De Souza,2,0.00,0.00,1.53,0.68,1,0,1,1,1,0,"40","",3,8,0,0,5,0,0,0,3,2,11,14,6,4,5,10,16,16,45,55,0.00,0.00,1.40,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.00,4.40,1.53,2.65,5.25,10.75,2.20,1.61,Estádio Governador Roberto Santos (Salvador de Bahia- Bahia)
